,ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Region,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color,Certification.Body,altitude_mean_meters,ClusterAgg,ClusterKmeans
1034,1035,Arabica,christina dusing,Mexico,selva negra,,veracruz,AMECAFE,2012,"July 3rd, 2012",CHRISTINA DUSING,Bourbon,Washed / Wet,7.5,7.17,7.33,7.25,7.17,7.17,10.0,10.0,10.0,80.83,0.13,Green,AMECAFE,100.0,4,6
1035,1036,Arabica,kona pacific farmers cooperative,United States (Hawaii),,cqi,kona,Specialty Coffee Association,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.42,7.33,7.0,7.25,7.33,7.5,10.0,10.0,10.0,80.83,0.1,Blue-Green,Specialty Coffee Association,0.0,0,1
1036,1037,Arabica,exportadora de cafe condor s.a,Colombia,,,huila,Almacafé,4T/2010,"January 25th, 2011",Exportadora de Cafe Condor S.A,Other,Not Specified,7.33,7.33,7.0,6.83,7.33,7.67,10.0,10.0,10.0,80.83,0.01,,Almacafé,1800.0,0,1
1037,1038,Arabica,bourbon specialty coffees,Brazil,castelhana farm,bourbon specialty coffees,monte carmelo,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",BOURBON SPECIALTY COFFEES,Other,Natural / Dry,7.17,7.25,7.08,7.17,7.25,7.58,10.0,10.0,10.0,80.75,0.0,Green,Brazil Specialty Coffee Association,0.0,0,1
1038,1039,Arabica,u soe,Myanmar,myaing,,ywar ngan,Coffee Quality Institute,2015,"July 17th, 2015",U Soe,Catuai,Washed / Wet,6.92,7.5,7.0,7.58,7.5,7.08,10.0,10.0,10.0,80.75,0.0,Green,Coffee Quality Institute,3825.0,0,1
1039,1040,Arabica,juan luis alvarado romero,Guatemala,finca los cerros y anexos,exportcafe,huehuetenango,Asociacion Nacional Del Café,2015,"June 18th, 2015",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.5,7.33,7.0,7.42,7.17,7.17,10.0,10.0,10.0,80.75,0.12,Green,Asociacion Nacional Del Café,1706.88,4,6
1040,1041,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,cafetales santa matilde,"comercial internacional exportadora, s.a.",jinotega,Asociación de Cafés Especiales de Nicaragua,2015,"May 28th, 2015","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Other,Washed / Wet,7.25,7.25,7.17,7.25,7.33,7.25,10.0,10.0,10.0,80.75,0.12,Green,Asociación de Cafés Especiales de Nicaragua,1100.0,0,1
1041,1042,Arabica,bismarck castro,Honduras,juan damaso,cigrah s.a de c.v,"siguatepeque, comayagua",Instituto Hondureño del Café,2015,"May 25th, 2015",Bismarck Castro,Caturra,Natural / Dry,7.5,7.33,7.0,7.42,7.25,7.17,10.0,10.0,10.0,80.75,0.11,Green,Instituto Hondureño del Café,1450.0,4,6
1042,1043,Arabica,essencecoffee,Panama,elida estate,essence coffee,boquete,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Natural / Experimental,7.25,7.33,7.17,7.33,7.33,7.17,10.0,10.0,10.0,80.75,0.11,Green,Blossom Valley International,1680.0,0,1
1043,1044,Arabica,cadexsa,Honduras,bethel,cadexsa,marcala,Instituto Hondureño del Café,2015,"May 22nd, 2015",CADEXSA,Catuai,Washed / Wet,7.42,7.17,7.08,7.42,7.25,7.25,10.0,10.0,10.0,80.75,0.09,Green,Instituto Hondureño del Café,1350.0,4,6
1044,1045,Arabica,,Honduras,los hicaques,cigrah,central region,Instituto Hondureño del Café,2015,"March 11th, 2015",,Catuai,Natural / Dry,7.25,7.33,7.08,7.5,7.25,7.33,10.0,10.0,10.0,80.75,0.13,Green,Instituto Hondureño del Café,1450.0,0,1
1045,1046,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,san ramon,Specialty Coffee Association,2014,"April 11th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.33,7.33,7.25,7.25,7.17,7.17,10.0,10.0,10.0,80.75,0.11,Green,Specialty Coffee Association,1300.0,0,1
1046,1047,Arabica,diego manuel woolrich ramirez,Mexico,san josé y el portillo,,oaxaca,AMECAFE,2012,"September 4th, 2012",DIEGO MANUEL WOOLRICH RAMIREZ,Typica,Washed / Wet,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10.0,80.75,0.11,Green,AMECAFE,1200.0,4,6
1047,1048,Arabica,myriam kaplan-pasternak,Haiti,2000 farms,haiti coffee,haiti,Specialty Coffee Association,2012,"May 22nd, 2012",Myriam Kaplan-Pasternak,Typica,Washed / Wet,7.42,7.0,7.42,7.25,7.08,7.33,10.0,10.0,10.0,80.75,0.12,Green,Specialty Coffee Association,1000.0,4,6
1048,1049,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,Specialty Coffee Association,2011,"December 21st, 2011",Kona Pacific Farmers Cooperative,Arusha,Natural / Dry,7.08,7.33,7.17,7.25,7.33,7.67,10.0,10.0,10.0,80.75,0.13,Bluish-Green,Specialty Coffee Association,0.0,0,1
1049,1050,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,胖胖糖,宸嶧國際,taiwan,Blossom Valley International,2016,"August 12th, 2016",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Natural / Experimental,7.33,7.08,7.08,7.08,7.42,7.33,10.0,10.0,10.0,80.67,0.0,Green,Blossom Valley International,0.0,0,1
1050,1051,Arabica,aulia arif syahri,Indonesia,darmawi,pt. olam indonesia,sumatra brastagi,Specialty Coffee Association,2015,"November 10th, 2015",Aulia Arif Syahri,Mandheling,Semi-washed / Semi-pulped,7.58,7.42,7.0,7.67,7.5,7.5,9.33,9.33,10.0,80.67,0.13,Blue-Green,Specialty Coffee Association,1350.0,4,6
1051,1052,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,Asociacion Nacional Del Café,2015/2016,"October 23rd, 2015",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.42,6.83,7.17,7.42,7.17,10.0,10.0,10.0,80.67,0.11,Green,Asociacion Nacional Del Café,1500.0,4,1
1052,1053,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",tarrazu,Specialty Coffee Association of Costa Rica,2015,"February 27th, 2015","CECA, S.A.",Caturra,Washed / Wet,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10.0,10.0,80.67,0.11,Blue-Green,Specialty Coffee Association of Costa Rica,185.0,6,4
1053,1054,Arabica,afca,Malawi,makoka valley estate,r.w.j wallace ltd,southern- zomba,Africa Fine Coffee Association,2014,"November 4th, 2014",AFCA,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.25,7.17,10.0,10.0,10.0,80.67,0.12,Bluish-Green,Africa Fine Coffee Association,995.0,4,1
1054,1055,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,"el desmoronado, talpan de allende jalisco",cafe don balbino s.c. de r.l. de c.v.,"el desmoronado, talpan de allende jalisco",AMECAFE,2014,"October 23rd, 2014",CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Typica,Washed / Wet,7.25,7.17,7.17,7.25,7.17,7.42,10.0,10.0,10.0,80.67,0.12,Green,AMECAFE,1200.0,0,1
1055,1056,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,santander,Almacafé,2014,"April 14th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.5,7.42,7.67,7.5,7.75,10.0,10.0,6.67,80.67,0.0,,Almacafé,1550.0,5,5
1056,1057,Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,"finca santo tomas pachuj, guatemala","san lucas toliman, solola",Asociacion Nacional Del Café,2013,"June 5th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.17,7.0,7.5,7.0,7.0,10.0,10.0,10.0,80.67,0.12,Green,Asociacion Nacional Del Café,1550.0,4,6
1057,1058,Arabica,juan luis alvarado romero,Guatemala,chiquimulja / alpha cafe / senfro,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2012,"January 25th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.0,7.33,7.5,7.33,7.0,7.33,10.0,10.0,10.0,80.67,0.11,Green,Asociacion Nacional Del Café,0.0,0,1
1058,1059,Arabica,juan luis alvarado romero,Guatemala,chiquimulja / alpha cafe / senfro,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2012,"January 25th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.0,7.5,7.33,7.17,7.17,7.17,10.0,10.0,10.0,80.67,0.11,Green,Asociacion Nacional Del Café,0.0,0,1
1059,1060,Arabica,racafe & cia s.c.a,Colombia,,,,Almacafé,,"March 15th, 2011",Racafe & Cia S.C.A,Other,Not Specified,7.17,7.25,7.08,7.42,7.08,7.42,10.0,10.0,10.0,80.67,0.18,,Almacafé,0.0,0,1
1060,1061,Arabica,bourbon specialty coffees,Brazil,leticia farm,bourbon specialty coffees,monte carmelo,Brazil Specialty Coffee Association,2016,"March 11th, 2016",BOURBON SPECIALTY COFFEES,Other,Not Specified,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10.0,10.0,80.58,0.11,Green,Brazil Specialty Coffee Association,0.0,4,6
1061,1062,Arabica,"exportadora atlantic, s.a.",Nicaragua,los saltarines,exportadora atlantic s.a,nueva segovia,Instituto Hondureño del Café,2016,"February 26th, 2016","Exportadora Atlantic, S.A.",Other,Not Specified,7.08,7.5,7.0,7.25,7.42,7.0,10.0,10.0,10.0,80.58,0.11,Green,Instituto Hondureño del Café,0.0,0,1
1062,1063,Arabica,burka coffee estate,"Tanzania, United Republic Of",burka coffee estates,burka coffee estate,arusha,Africa Fine Coffee Association,2014,"January 6th, 2015",Burka Coffee Estate,Other,Washed / Wet,7.25,7.08,7.08,7.33,7.33,7.25,10.0,10.0,10.0,80.58,0.12,Bluish-Green,Africa Fine Coffee Association,1400.0,0,1
1063,1064,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Specialty Coffee Association,2014/2015,"October 17th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.42,7.25,7.33,7.0,7.08,7.25,10.0,10.0,10.0,80.58,0.0,Green,Specialty Coffee Association,1200.0,4,1
1064,1065,Arabica,beneficio santa rosa,Honduras,bsr,beneficio santa rosa s.a.,occidental,Instituto Hondureño del Café,2014,"April 30th, 2014",Beneficio Santa Rosa,Caturra,Washed / Wet,7.5,7.17,7.0,7.42,7.33,7.0,10.0,10.0,10.0,80.58,0.11,Green,Instituto Hondureño del Café,1400.0,4,6
1065,1066,Arabica,juan luis alvarado romero,Guatemala,finca el naranjal,exportcafe,huehuetenango,Asociacion Nacional Del Café,2014,"January 28th, 2014",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.17,7.42,6.83,7.5,7.17,7.25,10.0,10.0,10.0,80.58,0.11,Green,Asociacion Nacional Del Café,1383.792,0,1
1066,1067,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,Specialty Coffee Association,,"May 4th, 2011",Kona Pacific Farmers Cooperative,Other,Not Specified,7.42,7.58,7.5,7.92,7.83,7.83,8.67,8.67,9.33,80.58,0.0,,Specialty Coffee Association,0.0,2,4
1067,1068,Arabica,racafe & cia s.c.a,Colombia,,,,Almacafé,,"March 15th, 2011",Racafe & Cia S.C.A,Other,Not Specified,7.08,7.25,7.0,7.5,7.08,7.33,10.0,10.0,10.0,80.58,0.0,,Almacafé,0.0,0,1
1068,1069,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,王秋金,王秋金,taiwan,Blossom Valley International,2017,"December 8th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,Other,Natural / Dry,7.17,7.17,7.17,7.42,7.17,7.25,10.0,10.0,10.0,80.5,0.0,Blue-Green,Blossom Valley International,50.0,0,1
1069,1070,Arabica,juan luis alvarado romero,Guatemala,el guayabo,"peter schoelfeld, s.a",santa rosa,Asociacion Nacional Del Café,2017,"September 8th, 2017",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.33,7.25,7.08,7.17,7.25,7.17,10.0,10.0,10.0,80.5,0.1,Green,Asociacion Nacional Del Café,1500.0,0,1
1070,1071,Arabica,janny marlith torres,Honduras,la bendicion,coffee planet corporation s.a,ocotepeque,Instituto Hondureño del Café,2017,"August 23rd, 2017",Janny Marlith Torres,Catuai,Washed / Wet,7.58,7.33,7.0,7.17,7.33,7.08,10.0,10.0,10.0,80.5,0.11,Green,Instituto Hondureño del Café,1650.0,4,1
1071,1072,Arabica,case noyale ltd,Mauritius,case noyale ltd,compagnie sucrière de bel ombre ltd,chamarel (south west),Kenya Coffee Traders Association,2016,"February 11th, 2016",Case Noyale Ltd,Other,Not Specified,7.25,7.25,7.17,7.17,7.25,7.17,10.0,10.0,10.0,80.5,0.12,Green,Kenya Coffee Traders Association,280.0,0,1
1072,1073,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,bourbon specialty coffees,vale da grama,Brazil Specialty Coffee Association,2015/2016,"November 17th, 2015",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10.0,10.0,80.5,0.11,Green,Brazil Specialty Coffee Association,1250.0,0,6
1073,1074,Arabica,shwe yin mar coffee,Myanmar,mixed,shwe yin mar coffee,pyin oo lwin,Coffee Quality Institute,2015,"July 17th, 2015",Shwe Yin Mar Coffee,Other,Washed / Wet,7.17,7.33,7.17,7.42,7.25,7.08,10.0,10.0,10.0,80.5,0.0,Green,Coffee Quality Institute,3800.0,0,1
1074,1075,Arabica,juan luis alvarado romero,Guatemala,various,outspan guatemala s.a.,oriente,Asociacion Nacional Del Café,2014,"April 23rd, 2014",Juan Luis Alvarado Romero,Other,Washed / Wet,7.5,7.17,6.83,7.5,7.17,7.17,10.0,10.0,10.0,80.5,0.11,Green,Asociacion Nacional Del Café,1219.2,4,1
1075,1076,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,exportadora de cafés carmo de minas ltda,mantiqueira de minas,Specialty Coffee Association,2013,"April 17th, 2014",Jacques Pereira Carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10.0,80.5,0.1,,Specialty Coffee Association,1250.0,4,6
1076,1077,Arabica,eileen koyanagi,United States (Hawaii),,kona pacific farmers cooperative,kona,Specialty Coffee Association,2013,"February 4th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.42,7.33,7.33,7.58,7.58,7.42,8.67,10.0,10.0,80.5,0.11,Green,Specialty Coffee Association,0.0,10,0
1077,1078,Arabica,juan luis alvarado romero,Guatemala,barranca de las flores,exportcafe,huehuetenango,Asociacion Nacional Del Café,2013,"February 13th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.0,7.67,7.17,7.0,10.0,10.0,10.0,80.5,0.12,Green,Asociacion Nacional Del Café,1859.28,4,6
1078,1079,Arabica,israel eduardo paz garcia,Mexico,peña negra,cafeorganico.mx,zaragoza itundujia,AMECAFE,2012,"September 17th, 2012",ISRAEL EDUARDO PAZ GARCIA,Typica,Washed / Wet,7.25,7.25,7.08,7.33,7.25,7.17,10.0,10.0,10.0,80.5,0.15,,AMECAFE,1450.0,0,1
1079,1080,Arabica,cadexsa,Honduras,bethel,cadexsa,marcala,Instituto Hondureño del Café,2016,"February 3rd, 2016",CADEXSA,Other,Not Specified,7.25,7.42,7.0,7.42,7.33,7.0,10.0,10.0,10.0,80.42,0.1,Green,Instituto Hondureño del Café,1450.0,0,1
1080,1081,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,春風咖啡,宸嶧國際,南投國姓,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.58,7.17,7.17,7.17,7.17,7.17,10.0,10.0,10.0,80.42,0.14,Green,Blossom Valley International,600.0,4,6
1081,1082,Arabica,lusso lab,El Salvador,finca la fany,lusso coffee lab,"department of ahuachapan, municipality of apanecallamatepec mountain",Specialty Coffee Association,2013,"April 26th, 2014",LUSSO LAB,Bourbon,Washed / Wet,7.33,7.17,7.08,7.08,7.33,7.17,10.0,10.0,10.0,80.42,0.0,Green,Specialty Coffee Association,1450.0,0,1
1082,1083,Arabica,adam ciruli ye,China,alicia's farm,yunnan new century tech inc.,yunnan,Specialty Coffee Association,2013,"January 17th, 2014",Adam Ciruli Ye,Other,Washed / Wet,7.25,7.08,7.25,7.17,7.33,7.17,10.0,10.0,10.0,80.42,0.17,Green,Specialty Coffee Association,1700.0,0,1
1083,1084,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,guoxing farm coffee 國姓農場咖啡        ,blossom valley宸嶧國際,nantou,"Blossom Valley International
",2013/2014,"December 26th, 2013
","CQI Taiwan ICP CQI台灣合作夥伴
",Typica,Washed / Wet,7.25,7.25,7.17,7.25,7.25,7.25,10.0,10.0,10.0,80.42,0.11,Green,"Blossom Valley International
",600.0,0,1
1084,1085,Arabica,alfredo bojalil,Mexico,copalita,ecomtrading,pochutla,AMECAFE,2012,"September 4th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,6.92,7.17,7.08,7.5,7.33,7.17,10.0,10.0,10.0,80.42,0.1,Green,AMECAFE,1050.0,0,1
1085,1086,Arabica,armando luis pohlenz martinez,Mexico,,beneficio custepec s.a. de c.v.,la concordia,AMECAFE,2012,"August 30th, 2012",ARMANDO LUIS POHLENZ MARTINEZ,Caturra,Washed / Wet,7.42,7.08,7.08,7.33,7.25,7.17,10.0,10.0,10.0,80.42,0.12,Green,AMECAFE,1550.0,4,1
1086,1087,Arabica,simon mahinda,Burundi,,sangana commodities k limited,mumirwa,Kenya Coffee Traders Association,2016,"January 22nd, 2016",SIMON MAHINDA,Other,Not Specified,7.08,7.25,7.17,7.33,7.08,7.08,10.0,10.0,10.0,80.33,0.12,Green,Kenya Coffee Traders Association,1700.0,0,1
1087,1088,Arabica,delfina leon shine,"Tanzania, United Republic Of",delfina farm,delfina farm,mkuu rombo,Africa Fine Coffee Association,2015/2016,"November 16th, 2015",Delfina Leon Shine,Bourbon,Washed / Wet,7.25,7.17,7.0,7.25,7.42,7.08,10.0,10.0,10.0,80.33,0.13,Green,Africa Fine Coffee Association,1700.0,0,1
1088,1089,Arabica,kongoni estate,"Tanzania, United Republic Of",kongoni estate,kongoni estate,arusha,Africa Fine Coffee Association,2014,"December 18th, 2014",Kongoni Estate,Other,Washed / Wet,7.25,7.17,7.25,7.25,7.25,7.08,10.0,10.0,10.0,80.33,0.12,Bluish-Green,Africa Fine Coffee Association,0.0,0,1
1089,1090,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,tokoffee莊園,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Yellow Bourbon,Natural / Experimental,7.25,7.25,7.08,7.25,7.25,7.25,10.0,10.0,10.0,80.33,0.11,Green,Blossom Valley International,600.0,0,1
1090,1091,Arabica,juan luis alvarado romero,Guatemala,la castellana,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2013,"June 6th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.33,7.33,6.83,7.5,7.0,7.17,10.0,10.0,10.0,80.33,0.11,Green,Asociacion Nacional Del Café,1310.64,0,1
1091,1092,Arabica,miguel cortes moreno,Mexico,,estrategias constructivas corzu s.a. de c.v.,chilón,AMECAFE,2012,"August 30th, 2012",MIGUEL CORTES MORENO,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.08,7.33,7.33,7.17,10.0,10.0,10.0,80.33,0.11,Green,AMECAFE,940.0,0,1
1092,1093,Arabica,kona pacific farmers cooperative,United States (Hawaii),,cqi,kona,Specialty Coffee Association,2012,"February 8th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.17,7.5,6.92,7.33,7.67,7.33,9.33,10.0,10.0,80.33,0.12,Green,Specialty Coffee Association,0.0,0,1
1093,1094,Arabica,ethiopia commodity exchange,Ethiopia,,,kelem welega,Ethiopia Commodity Exchange,2010,"June 17th, 2010",Ethiopia Commodity Exchange,Other,Not Specified,7.25,7.25,7.25,7.33,7.5,8.0,9.33,9.33,10.0,80.33,0.1,,Ethiopia Commodity Exchange,0.0,4,6
1094,1095,Arabica,volcafe ltda. - brasil,Brazil,são rafael_ ra/ras certified,volcafe ltda.,cerrado - monte carmelo - minas gerais,Brazil Specialty Coffee Association,2017 / 2018,"November 3rd, 2017",Volcafe Ltda. - Brasil,Catuai,Natural / Dry,7.17,7.33,7.42,7.08,7.0,7.0,10.0,10.0,10.0,80.25,0.11,Green,Brazil Specialty Coffee Association,995.0,0,1
1095,1096,Arabica,bismarck castro,Honduras,las moras,cigrah s.a de c.v,comayagua,Instituto Hondureño del Café,2016,"April 6th, 2017",Bismarck Castro,Caturra,Natural / Dry,7.25,7.25,7.0,7.0,7.42,7.0,10.0,10.0,10.0,80.25,0.1,Green,Instituto Hondureño del Café,1400.0,0,1
1096,1097,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,cortapico,cafe don balbino s.c. de r.l. de c.v.,sierra madre occidental,Centro Agroecológico del Café A.C.,2016,"April 26th, 2016",CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Caturra,Washed / Wet,7.25,7.17,7.0,7.33,7.33,7.0,10.0,10.0,10.0,80.25,0.1,Green,Centro Agroecológico del Café A.C.,1600.0,0,1
1097,1098,Arabica,bob mccauley,Myanmar,waylead farms,"waylead industrial co, ltd.","yauk sauk, shan state",Specialty Coffee Association,2015,"August 27th, 2015",Bob McCauley,Other,Natural / Dry,8.0,7.08,7.0,7.33,7.08,6.92,10.0,10.0,10.0,80.25,0.11,Green,Specialty Coffee Association,1306.7,4,6
1098,1099,Arabica,u htun htun,Myanmar,thein kone,,ywar ngan,Coffee Quality Institute,2014,"July 17th, 2015",U Htun Htun,Catuai,Natural / Dry,7.42,7.0,7.08,7.0,7.17,7.33,10.0,10.0,10.0,80.25,0.0,Green,Coffee Quality Institute,1306.7,0,1
1099,1100,Arabica,gloria antonieta escobar urrutia,Nicaragua,finca el consuelo,zeas escobar y compañía limitada,matagalpa,Asociación de Cafés Especiales de Nicaragua,2015,"February 20th, 2015",Gloria Antonieta Escobar Urrutia,Caturra,Washed / Wet,7.08,6.92,7.0,7.25,7.5,7.25,10.0,10.0,10.0,80.25,0.11,Green,Asociación de Cafés Especiales de Nicaragua,900.0,0,1
1100,1101,Arabica,eileen koyanagi,United States (Hawaii),,kona pacific farmers cooperative,kona,Specialty Coffee Association,2014,"March 3rd, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,80.25,0.12,Green,Specialty Coffee Association,0.0,2,0
1101,1102,Arabica,honor dela fuente,Colombia,,costco wholesale industries,,Specialty Coffee Association,2012,"January 8th, 2014",Honor dela Fuente,Typica,Washed / Wet,7.42,8.0,7.83,7.75,8.08,7.58,8.67,8.67,8.67,80.25,0.1,Green,Specialty Coffee Association,0.0,6,5
1102,1103,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,weng hui ling 翁惠鈴,blossom valley宸嶧國際,chiayi fanlu嘉義縣番路鄉,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.25,7.25,7.17,7.25,10.0,10.0,10.0,80.25,0.11,Green,Blossom Valley International,700.0,0,1
1103,1104,Arabica,the coffee source inc.,Guatemala,several,the coffee source inc.,oriente,Specialty Coffee Association,2012,"January 9th, 2013",The Coffee Source Inc.,Caturra,Washed / Wet,7.0,7.17,7.33,7.33,7.0,7.17,10.0,10.0,10.0,80.25,0.11,Green,Specialty Coffee Association,1400.0,0,1
1104,1105,Arabica,saul m. hernandez ramirez,Mexico,mirador,,"calnali, hidalgo",AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Caturra,Washed / Wet,7.58,7.33,7.17,7.25,6.75,7.0,10.0,10.0,10.0,80.25,0.11,,AMECAFE,808.0,4,1
1105,1106,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,"sunvirtue co., ltd.",dala,Specialty Coffee Association,2017,"May 9th, 2017","Sunvirtue Co., Ltd.",Catimor,Natural / Experimental,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10.0,10.0,80.17,0.0,,Specialty Coffee Association,1550.0,10,6
1106,1107,Arabica,"exportadora atlantic, s.a.",Nicaragua,los mesones,exportadora atlantic s.a,jinotega,Asociación de Cafés Especiales de Nicaragua,2015,"April 24th, 2015","Exportadora Atlantic, S.A.",Caturra,Washed / Wet,7.17,7.08,7.08,7.33,7.25,7.08,10.0,10.0,10.0,80.17,0.11,,Asociación de Cafés Especiales de Nicaragua,1187.5,0,1
1107,1108,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,Instituto Hondureño del Café,2015,"January 26th, 2015",CADEXSA,Catuai,Washed / Wet,7.25,7.25,7.0,7.17,7.08,7.08,10.0,10.0,10.0,80.17,0.11,Green,Instituto Hondureño del Café,1400.0,0,1
1108,1109,Arabica,juan luis alvarado romero,Guatemala,el morito,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2013,"August 7th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.33,7.33,7.0,7.17,7.17,7.17,10.0,10.0,10.0,80.17,0.11,Green,Asociacion Nacional Del Café,1310.64,0,1
1109,1110,Arabica,pablo enrique martinez gama,Mexico,"la orduña, coatepec, veracruz",café katsina,coatepec,AMECAFE,2012,"October 9th, 2012",PABLO ENRIQUE MARTINEZ GAMA,Typica,Washed / Wet,7.33,7.08,6.92,7.42,7.25,7.08,10.0,10.0,10.0,80.17,0.11,Green,AMECAFE,1250.0,0,1
1110,1111,Arabica,israel eduardo paz garcia,Mexico,el carrizo,cafeorganico.mx,zaragoza itundujia,AMECAFE,2012,"September 13th, 2012",ISRAEL EDUARDO PAZ GARCIA,Typica,Washed / Wet,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10.0,10.0,80.17,0.14,Green,AMECAFE,1550.0,4,6
1111,1112,Arabica,marco virgilio ramirez teliz,Mexico,el aguacate,cafes de naranjal s.a. de c.v,veracruz,AMECAFE,2012,"September 10th, 2012",MARCO VIRGILIO RAMIREZ TELIZ,Bourbon,Washed / Wet,7.33,7.33,7.17,7.08,7.25,7.0,10.0,10.0,10.0,80.17,0.12,Green,AMECAFE,1000.0,0,1
1112,1113,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2012,"May 24th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.33,7.33,7.0,7.33,7.0,7.0,10.0,10.0,10.0,80.17,0.11,Green,Asociacion Nacional Del Café,1310.64,0,1
1113,1114,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,kona,Specialty Coffee Association,,"September 22nd, 2011",Kona Pacific Farmers Cooperative,Other,Not Specified,7.58,7.5,7.33,7.33,7.67,7.33,9.33,9.33,9.33,80.17,0.05,,Specialty Coffee Association,0.0,2,0
